"","surf","vol","dx","dy","dz","chull","rsv","l","i","s","sphe","compact","intspace","dr1","dr2","dr3","fd"
"MBE30722",1076.91045674071,896.859924316406,18.0799288749695,10.5982904434204,21.8282206654549,1931.47139675181,1.20075658142663,21.8282206654549,18.0799288749695,10.5982904434204,0.657787364759505,0.417626077697483,1034.6114724354,0.485531578860808,0.333776943968075,0.82828230262408,2.21209359250511
"MBE30819",533.961251449624,409.287994384766,14.6671752929688,14.4226274490356,9.20373153686523,918.696020789717,1.30461010040684,14.6671752929688,14.4226274490356,9.20373153686523,0.737076116387232,0.499260322244998,509.408026404951,0.627505388939981,0.0447607507004913,0.983326861577066,2.19069137239084
"MBE30822",406.751522614068,397.347045898438,8.75709199905396,14.8130192756653,11.3804848194122,571.120915663844,1.02366816819882,14.8130192756653,11.3804848194122,8.75709199905396,0.769080543004733,0.64259143045807,173.773869765407,0.59117535973507,0.566805758964426,0.768275839491278,2.12841089118856
"MBE30919",597.738964579612,497.164886474609,9.93088293075562,15.1425323486328,14.116340637207,940.111883260107,1.2022952160161,15.1425323486328,14.116340637207,9.93088293075562,0.772713254068532,0.507737830287668,442.946996785498,0.655827090351387,0.196903442488994,0.932231169278735,2.13928015667205
"MBE30922",237.244449476434,223.052108764648,7.96945428848267,12.6590547561646,8.60386896133423,303.671828681112,1.06362791542473,12.6590547561646,8.60386896133423,7.96945428848267,0.835450456572044,0.749708243581383,80.6197199164637,0.629545763249171,0.864718822589772,0.679661248573431,2.17022796970777
"MBE31019",586.873733052461,374.750915527344,10.0537400245667,16.1809687614441,14.0589485168457,1070.9457651832,1.5660368226896,16.1809687614441,14.0589485168457,10.0537400245667,0.763072812785382,0.428319572892883,696.194849655856,0.621331155926995,0.346326265221137,0.868857033476591,2.24090396900751
"MBE31022",259.993468646946,210.122970581055,7.76748073101044,11.2670741081238,8.46835994720459,356.585984971174,1.23733958228358,11.2670741081238,8.46835994720459,7.76748073101044,0.85832145724296,0.657411617300765,146.463014390119,0.689396435709066,0.799725527891964,0.751602400582307,2.07753937661188
"MBE31119",503.418090658804,443.407257080078,12.562008857727,13.8905849456787,12.3601484298706,936.009098538557,1.13534021516452,13.8905849456787,12.562008857727,12.3601484298706,0.956656252013445,0.558586588471874,492.601841458479,0.889822025365158,0.86810271071593,0.904354201558303,2.1516022925438
"MBE31122",251.054478767361,234.689392089844,6.55942821502686,12.7272601127625,7.76399564743042,294.924026420045,1.06973083244961,12.7272601127625,7.76399564743042,6.55942821502686,0.757944236061756,0.732900679460994,60.234634330201,0.515384156284296,0.804701643563632,0.610028834064997,1.91419833066053
"MBE31219",481.208153956735,361.166168212891,9.14733695983887,18.9674501419067,11.3423329591751,803.995582110841,1.33237328495588,18.9674501419067,11.3423329591751,9.14733695983887,0.729949256545574,0.509670136969718,442.82941389795,0.482264979815538,0.776479562033517,0.597989338277754,2.05098350024155
"MBE31222",561.975819685512,309.606811523438,11.530312538147,14.5389966964722,12.9452743828297,1109.26223927083,1.81512744154522,14.5389966964722,12.9452743828297,11.530312538147,0.890592062826773,0.393828220349068,799.655427747397,0.793061087973475,0.529707416856164,0.890382923463404,2.19889165941805
"MBK10119",236.537488915219,108.993034362793,7.129638671875,15.9374399185181,12.7182630300522,364.572546631597,2.17020739259247,15.9374399185181,12.7182630300522,7.129638671875,0.630612961095767,0.466498199049831,255.579512268804,0.44735156388517,0.365491545315332,0.79801166906829,2.25935180164444
"MBK10122",559.23131509851,266.862396240234,15.7063150405884,12.4654197692871,18.323971748352,1267.42288794128,2.09557930595467,18.323971748352,15.7063150405884,12.4654197692871,0.814279121184105,0.358440903153193,1000.56049170105,0.680279359763157,0.446809504655358,0.857145779107682,2.18425909086904
"MBK10123",546.919060517132,301.812042236328,9.55723237991333,17.9019422531128,13.4773468971252,876.431646069198,1.81211808668946,17.9019422531128,13.4773468971252,9.55723237991333,0.723413447542928,0.397849461657329,574.61960383287,0.533865669142772,0.530227584088685,0.752842719888776,2.18562082724522
"MBK10219",296.190448924037,153.500259399414,7.79675054550171,12.7541213035583,11.2200616598129,572.872789459848,1.92957621102996,12.7541213035583,11.2200616598129,7.79675054550171,0.751727602492293,0.468078992506081,419.372530060434,0.611312246444327,0.309450254704531,0.879720475661665,2.11245273273178
"MBK10222",368.148660059252,167.237228393555,13.9863369464874,14.3709621429443,15.0895416513085,959.642866212916,2.20135590379971,15.0895416513085,14.3709621429443,13.9863369464874,0.966233357393424,0.39873363749047,792.405637819361,0.926889448976375,0.651356457440708,0.952378970483713,2.00946927854304
"MBK10223",421.875623602794,225.790771484375,11.2268552780151,12.4381160736084,9.87233734130859,623.318878418985,1.86843607836288,12.4381160736084,11.2268552780151,9.87233734130859,0.887038387396969,0.42504719125337,397.52810693461,0.793716450536753,0.47208310691217,0.90261702106452,2.23223000263911
"MBK10319",727.195289288399,353.509399414062,10.0154724121094,19.0792598724365,14.5622153282166,1415.18218386337,2.0570748344845,19.0792598724365,14.5622153282166,10.0154724121094,0.71206226053809,0.332481162765884,1061.67278444931,0.524940300571017,0.498361701881404,0.763248439697304,2.17050022443605
"MBK10322",547.268321785797,268.804534912109,14.0310297012329,17.2942540645599,21.9405689239502,1567.84478647195,2.03593411087628,21.9405689239502,17.2942540645599,14.0310297012329,0.803544234734229,0.368051175052981,1299.04025155984,0.639501635070033,0.587431799572522,0.788231796746238,1.85903000564568
"MBK10323",415.378796329971,204.662857055664,9.98292922973633,16.7943696975708,12.1445412635803,710.000135828905,2.02957587080394,16.7943696975708,12.1445412635803,9.98292922973633,0.787632667136288,0.404326763387081,505.337278773241,0.594421190524363,0.682649794261327,0.723131709154703,2.03592584022163
"MBK10419",375.826047671328,189.763259887695,9.08983039855957,14.8891401290894,11.0155637264252,608.674698674404,1.98049953343839,14.8891401290894,11.0155637264252,9.08983039855957,0.795692146997126,0.424918202782688,418.911438786708,0.610500695120768,0.667937493021315,0.739838810765421,2.25438851997041
"MBK10422",431.731248327462,196.911026000977,16.209566116333,11.5449967384338,15.3514471054077,889.43119912031,2.19251941902593,16.209566116333,15.3514471054077,11.5449967384338,0.812123927295156,0.379126374258192,692.520173119334,0.712233545029988,0.183965322713621,0.947060951245287,2.07330722688326
