,point,date,vwnd_mean,vwnd_median,vwnd_sd,vwnd_min,vwnd_max
52,Morlaix 3,2022-03-02T00:00:00,1.1892130374908447,1.399999976158142,3.899441957473755,-10.199999809265137,11.40000057220459
53,Morlaix 3,2023-02-20T00:00:00,1.8838889598846436,1.8000000715255737,3.9375720024108887,-12.5,13.300000190734863
54,Trevignon 1,2019-02-19T00:00:00,0.6419908404350281,0.20000000298023224,4.0709028244018555,-11.800000190734863,14.5
55,Trevignon 1,2022-03-25T00:00:00,0.7506018877029419,0.4000000059604645,3.6724839210510254,-8.0,13.800000190734863
56,Trevignon 1,2023-03-16T00:00:00,0.6023147702217102,-0.30000001192092896,4.416378974914551,-9.699999809265137,13.90000057220459
57,Trevignon 2,2019-02-19T00:00:00,0.6419908404350281,0.20000000298023224,4.0709028244018555,-11.800000190734863,14.5
58,Trevignon 2,2022-03-25T00:00:00,0.7506018877029419,0.4000000059604645,3.6724839210510254,-8.0,13.800000190734863
59,Trevignon 2,2023-03-16T00:00:00,0.6023147702217102,-0.30000001192092896,4.416378974914551,-9.699999809265137,13.90000057220459
60,Meaban 2,2019-02-20T00:00:00,0.6783332824707031,0.10000000149011612,4.368734836578369,-12.5,13.199999809265137
61,Meaban 2,2022-03-24T00:00:00,0.8777315020561218,0.699999988079071,3.882310390472412,-7.800000190734863,14.5
62,Meaban 2,2023-03-15T00:00:00,0.34097233414649963,-0.44999998807907104,4.926843643188477,-11.199999809265137,15.199999809265137
63,Keraliou 1,2019-02-21T00:00:00,1.1366666555404663,1.2000000476837158,3.5913243293762207,-9.0,14.300000190734863
64,Keraliou 1,2022-04-15T00:00:00,0.5643981099128723,0.5,3.469771146774292,-9.199999809265137,12.600000381469727
65,Keraliou 1,2023-03-18T00:00:00,1.249166488647461,0.800000011920929,4.018909931182861,-8.90000057220459,12.5
66,Keraliou 2,2019-02-21T00:00:00,1.1352314949035645,1.2000000476837158,3.6092660427093506,-9.100000381469727,14.40000057220459
