,point,date,cur_mean,cur_median,cur_sd,cur_min,cur_max
57,Trevignon 2,2019-02-19T00:00:00,0.04785666614770889,0.04472135752439499,0.01707332953810692,0.009999999776482582,0.11313708126544952
58,Trevignon 2,2022-03-25T00:00:00,0.04507646709680557,0.04242640733718872,0.015432382933795452,0.01414213515818119,0.08544003218412399
59,Trevignon 2,2023-03-16T00:00:00,0.04474055767059326,0.04242640733718872,0.014706861227750778,0.01414213515818119,0.08544003218412399
60,Meaban 2,2019-02-20T00:00:00,0.11901213973760605,0.1004987508058548,0.07300777733325958,0.0,0.3832753598690033
61,Meaban 2,2022-03-24T00:00:00,0.10492746531963348,0.1004987508058548,0.052136704325675964,0.009999999776482582,0.23194825649261475
62,Meaban 2,2023-03-15T00:00:00,0.10350097715854645,0.1004987508058548,0.05107412487268448,0.009999999776482582,0.23194825649261475
63,Keraliou 1,2019-02-21T00:00:00,0.10537850111722946,0.10000000149011612,0.06316644698381424,0.0,0.29999998211860657
64,Keraliou 1,2022-04-15T00:00:00,0.0946006327867508,0.09433981031179428,0.05600618198513985,0.0,0.22472204267978668
65,Keraliou 1,2023-03-18T00:00:00,0.09590941667556763,0.09433981031179428,0.054861314594745636,0.0,0.22472204267978668
66,Keraliou 2,2019-02-21T00:00:00,0.1202693060040474,0.11421121656894684,0.07085008919239044,0.0,0.3354101777076721
67,Keraliou 2,2022-04-15T00:00:00,0.10840876400470734,0.10295629501342773,0.06372897326946259,0.0,0.2505992650985718
68,Keraliou 2,2023-03-18T00:00:00,0.10993529111146927,0.10295629501342773,0.06260375678539276,0.0,0.26419687271118164
69,Keraliou 3,2019-02-21T00:00:00,0.06872443109750748,0.06403123587369919,0.037726595997810364,0.0,0.1835755854845047
70,Keraliou 3,2022-04-15T00:00:00,0.059860795736312866,0.05830951780080795,0.03503001108765602,0.0,0.13892443478107452
71,Keraliou 3,2023-03-18T00:00:00,0.06060924381017685,0.05830951780080795,0.03440352529287338,0.0,0.13892443478107452
72,Glenan 1,2019-02-19T00:00:00,0.08991455286741257,0.08602324873209,0.04343153163790703,0.0,0.2147091031074524
73,Glenan 1,2022-03-26T00:00:00,0.07383408397436142,0.07211102545261383,0.03786071762442589,0.0,0.16124515235424042
74,Glenan 1,2023-03-16T00:00:00,0.07293152809143066,0.07615773379802704,0.03687216341495514,0.0,0.16124515235424042
75,Glenan 3,2019-02-19T00:00:00,0.10938715189695358,0.09219544380903244,0.06676732748746872,0.0,0.3189043700695038
76,Glenan 3,2022-03-26T00:00:00,0.09643419086933136,0.09219544380903244,0.044832322746515274,0.01414213515818119,0.20518283545970917
77,Glenan 3,2023-03-16T00:00:00,0.09515254199504852,0.09219544380903244,0.04349619150161743,0.022360678762197495,0.20518283545970917
78,Camaret 2,2019-02-22T00:00:00,0.0444420725107193,0.041231054812669754,0.02617594599723816,0.0,0.13038405776023865
79,Camaret 2,2022-03-27T00:00:00,0.04309943690896034,0.041231054812669754,0.023042501881718636,0.0,0.10295629501342773
80,Camaret 2,2023-03-18T00:00:00,0.04275466129183769,0.041231054812669754,0.022366933524608612,0.0,0.10295629501342773
81,Molene 3,2019-02-22T00:00:00,0.49541202187538147,0.45110970735549927,0.23890696465969086,0.0,1.1853269338607788
82,Molene 3,2022-03-27T00:00:00,0.41973352432250977,0.39849719405174255,0.19076208770275116,0.08062257617712021,0.8700000047683716
83,Molene 3,2023-03-19T00:00:00,0.4182589650154114,0.40311288833618164,0.18516364693641663,0.09999999403953552,0.8609297275543213
84,Trevignon 3,2019-02-19T00:00:00,0.05508490279316902,0.053851645439863205,0.017874451354146004,0.009999999776482582,0.12206555157899857
85,Trevignon 3,2022-03-25T00:00:00,0.05169869586825371,0.05099019408226013,0.016324955970048904,0.01414213515818119,0.09486832469701767
86,Trevignon 3,2023-03-16T00:00:00,0.051122698932886124,0.05000000074505806,0.015194335952401161,0.022360678762197495,0.09486832469701767
87,Meaban 3,2019-02-20T00:00:00,0.11901213973760605,0.1004987508058548,0.07300777733325958,0.0,0.3832753598690033
88,Meaban 3,2022-03-24T00:00:00,0.10492746531963348,0.1004987508058548,0.052136704325675964,0.009999999776482582,0.23194825649261475
89,Meaban 3,2023-03-15T00:00:00,0.10350097715854645,0.1004987508058548,0.05107412487268448,0.009999999776482582,0.23194825649261475
