,point,date,ucur_mean,ucur_median,ucur_sd,ucur_min,ucur_max
46,Morlaix 1,2022-03-02T00:00:00,-0.00029166677268221974,0.0,0.21005985140800476,-0.429999977350235,0.429999977350235
47,Morlaix 1,2023-02-20T00:00:00,-0.00013425943325273693,0.0,0.20729301869869232,-0.41999998688697815,0.41999998688697815
48,Morlaix 2,2019-02-12T00:00:00,-0.007222222629934549,-0.009999999776482582,0.04113287478685379,-0.10999999940395355,0.09999999403953552
49,Morlaix 2,2022-03-02T00:00:00,-1.8518510842113756e-05,0.0,0.03461961820721626,-0.07000000029802322,0.07000000029802322
50,Morlaix 2,2023-02-20T00:00:00,-1.851851811807137e-05,0.0,0.03341517224907875,-0.07000000029802322,0.07000000029802322
51,Morlaix 3,2019-02-12T00:00:00,-0.007222222629934549,-0.009999999776482582,0.04113287478685379,-0.10999999940395355,0.09999999403953552
52,Morlaix 3,2022-03-02T00:00:00,-1.8518510842113756e-05,0.0,0.03461961820721626,-0.07000000029802322,0.07000000029802322
53,Morlaix 3,2023-02-20T00:00:00,3.703703623614274e-05,0.0,0.03433762863278389,-0.07000000029802322,0.07000000029802322
54,Trevignon 1,2019-02-19T00:00:00,0.004662036895751953,0.0,0.02978435717523098,-0.04999999701976776,0.07999999821186066
55,Trevignon 1,2022-03-25T00:00:00,4.6296372602228075e-06,0.0,0.02674727328121662,-0.04999999701976776,0.04999999701976776
56,Trevignon 1,2023-03-16T00:00:00,-1.8518514480092563e-05,0.0,0.02642599120736122,-0.04999999701976776,0.04999999701976776
57,Trevignon 2,2019-02-19T00:00:00,0.004662036895751953,0.0,0.02978435717523098,-0.04999999701976776,0.07999999821186066
58,Trevignon 2,2022-03-25T00:00:00,4.6296372602228075e-06,0.0,0.02674727328121662,-0.04999999701976776,0.04999999701976776
59,Trevignon 2,2023-03-16T00:00:00,-1.8518514480092563e-05,0.0,0.02642599120736122,-0.04999999701976776,0.04999999701976776
60,Meaban 2,2019-02-20T00:00:00,0.02250925824046135,0.029999999329447746,0.034707773476839066,-0.07000000029802322,0.10999999940395355
61,Meaban 2,2022-03-24T00:00:00,7.870369154261425e-05,0.0,0.0285099595785141,-0.05999999865889549,0.05999999865889549
62,Meaban 2,2023-03-15T00:00:00,7.870370609452948e-05,0.0,0.028122471645474434,-0.05999999865889549,0.05999999865889549
63,Keraliou 1,2019-02-21T00:00:00,0.0031481480691581964,0.0,0.1033521294593811,-0.23999999463558197,0.25999999046325684
64,Keraliou 1,2022-04-15T00:00:00,4.629604518413544e-06,0.0,0.09281478077173233,-0.1899999976158142,0.1899999976158142
65,Keraliou 1,2023-03-18T00:00:00,7.407410885207355e-05,0.0,0.09321318566799164,-0.1899999976158142,0.1899999976158142
66,Keraliou 2,2019-02-21T00:00:00,0.00028703708085231483,-0.009999999776482582,0.1229393482208252,-0.28999999165534973,0.29999998211860657
67,Keraliou 2,2022-04-15T00:00:00,-4.629637624020688e-05,0.0,0.11032693833112717,-0.2199999988079071,0.2199999988079071
68,Keraliou 2,2023-03-18T00:00:00,-4.629639079212211e-05,0.0,0.11098922789096832,-0.22999998927116394,0.22999998927116394
69,Keraliou 3,2019-02-21T00:00:00,0.012222221121191978,0.009999999776482582,0.06526418030261993,-0.11999999731779099,0.1599999964237213
70,Keraliou 3,2022-04-15T00:00:00,-0.00012499996228143573,0.0,0.06003805249929428,-0.11999999731779099,0.11999999731779099
71,Keraliou 3,2023-03-18T00:00:00,9.259258513338864e-05,0.0,0.06034308299422264,-0.11999999731779099,0.11999999731779099
72,Glenan 1,2019-02-19T00:00:00,0.01046296302229166,0.009999999776482582,0.0844397023320198,-0.1899999976158142,0.17999999225139618
73,Glenan 1,2022-03-26T00:00:00,6.944440247025341e-05,0.0,0.07193261384963989,-0.14000000059604645,0.12999999523162842
74,Glenan 1,2023-03-16T00:00:00,0.00012500003504101187,0.0,0.07088091969490051,-0.14000000059604645,0.14000000059604645
75,Glenan 3,2019-02-19T00:00:00,0.04734259471297264,0.03999999910593033,0.08250125497579575,-0.09999999403953552,0.23999999463558197
76,Glenan 3,2022-03-26T00:00:00,9.259295438823756e-06,0.0,0.0781635269522667,-0.14999999105930328,0.14999999105930328
77,Glenan 3,2023-03-16T00:00:00,-2.7777758077718318e-05,0.0,0.07684097439050674,-0.14999999105930328,0.14999999105930328
78,Camaret 2,2019-02-22T00:00:00,0.00548611069098115,0.0,0.02623160183429718,-0.03999999910593033,0.07000000029802322
79,Camaret 2,2022-03-27T00:00:00,-1.0348028857409819e-11,0.0,0.02492581494152546,-0.04999999701976776,0.04999999701976776
80,Camaret 2,2023-03-18T00:00:00,4.1666662582429126e-05,0.0,0.024633387103676796,-0.04999999701976776,0.04999999701976776
81,Molene 3,2019-02-22T00:00:00,0.16631944477558136,0.1599999964237213,0.1420498639345169,-0.1599999964237213,0.5199999809265137
82,Molene 3,2022-03-27T00:00:00,-0.00011574079690035433,0.0,0.11775851994752884,-0.22999998927116394,0.22999998927116394
83,Molene 3,2023-03-19T00:00:00,-0.00010648144962033257,0.0,0.11682543158531189,-0.22999998927116394,0.22999998927116394
84,Trevignon 3,2019-02-19T00:00:00,0.0033518513664603233,0.0,0.0374557301402092,-0.07000000029802322,0.09999999403953552
85,Trevignon 3,2022-03-25T00:00:00,3.7037043512100354e-05,0.0,0.03321783244609833,-0.05999999865889549,0.05999999865889549
86,Trevignon 3,2023-03-16T00:00:00,-2.3148133550421335e-05,0.0,0.03274974226951599,-0.05999999865889549,0.05999999865889549
87,Meaban 3,2019-02-20T00:00:00,0.02250925824046135,0.029999999329447746,0.034707773476839066,-0.07000000029802322,0.10999999940395355
88,Meaban 3,2022-03-24T00:00:00,7.870369154261425e-05,0.0,0.0285099595785141,-0.05999999865889549,0.05999999865889549
89,Meaban 3,2023-03-15T00:00:00,7.870370609452948e-05,0.0,0.028122471645474434,-0.05999999865889549,0.05999999865889549
