,point,date,fp_mean,fp_median,fp_sd,fp_min,fp_max
78,Camaret 2,2019-02-22T00:00:00,0.08667546510696411,0.0820000022649765,0.019808709621429443,0.049000002443790436,0.21400001645088196
79,Camaret 2,2022-03-27T00:00:00,0.07984815537929535,0.07600000500679016,0.0196339450776577,0.04700000211596489,0.19100001454353333
80,Camaret 2,2023-03-18T00:00:00,0.0820314884185791,0.08100000023841858,0.01300857774913311,0.04700000211596489,0.1810000091791153
81,Molene 3,2019-02-22T00:00:00,0.09022638946771622,0.08300000429153442,0.02691045217216015,0.05100000277161598,0.24500000476837158
82,Molene 3,2022-03-27T00:00:00,0.08164305239915848,0.07700000703334808,0.0231422521173954,0.05300000309944153,0.2850000262260437
83,Molene 3,2023-03-19T00:00:00,0.0850592628121376,0.0820000022649765,0.021395141258835793,0.04700000211596489,0.27000001072883606
84,Trevignon 3,2019-02-19T00:00:00,0.09741250425577164,0.08500000089406967,0.037218399345874786,0.05000000074505806,0.28700000047683716
85,Trevignon 3,2022-03-25T00:00:00,0.08790555596351624,0.07700000703334808,0.03654871881008148,0.05000000074505806,0.2990000247955322
86,Trevignon 3,2023-03-16T00:00:00,0.0884583368897438,0.0820000022649765,0.028211195021867752,0.04700000211596489,0.24300001561641693
87,Meaban 3,2019-02-20T00:00:00,0.10451158136129379,0.0860000029206276,0.05347566306591034,0.055000003427267075,0.3760000169277191
88,Meaban 3,2022-03-24T00:00:00,0.09774954617023468,0.07900000363588333,0.05825408920645714,0.049000002443790436,0.3750000298023224
89,Meaban 3,2023-03-15T00:00:00,0.10198055952787399,0.08400000631809235,0.06103448569774628,0.04800000041723251,0.5240000486373901
