,point,date,abr_mean,abr_median,abr_sd,abr_min,abr_max
48,Morlaix 2,2019-02-12T00:00:00,0.34793880581855774,0.2973213791847229,0.23021017014980316,0.03999999910593033,1.2723599672317505
49,Morlaix 2,2022-03-02T00:00:00,0.44472384452819824,0.3668787181377411,0.2816912829875946,0.036055512726306915,1.5402920246124268
50,Morlaix 2,2023-02-20T00:00:00,0.3517216145992279,0.2973213791847229,0.23398417234420776,0.009999999776482582,1.1322543621063232
51,Morlaix 3,2019-02-12T00:00:00,0.34793880581855774,0.2973213791847229,0.23021017014980316,0.03999999910593033,1.2723599672317505
52,Morlaix 3,2022-03-02T00:00:00,0.44472384452819824,0.3668787181377411,0.2816912829875946,0.036055512726306915,1.5402920246124268
53,Morlaix 3,2023-02-20T00:00:00,0.3517216145992279,0.2973213791847229,0.23398417234420776,0.009999999776482582,1.1322543621063232
54,Trevignon 1,2019-02-19T00:00:00,0.381268709897995,0.31400635838508606,0.23491933941841125,0.07810249924659729,1.2578155994415283
55,Trevignon 1,2022-03-25T00:00:00,0.4284583628177643,0.3940812051296234,0.2535032629966736,0.07810249924659729,1.1473883390426636
56,Trevignon 1,2023-03-16T00:00:00,0.4146711528301239,0.3499999940395355,0.24789109826087952,0.07810249924659729,1.5042606592178345
57,Trevignon 2,2019-02-19T00:00:00,0.381268709897995,0.31400635838508606,0.23491933941841125,0.07810249924659729,1.2578155994415283
58,Trevignon 2,2022-03-25T00:00:00,0.4284583628177643,0.3940812051296234,0.2535032629966736,0.07810249924659729,1.1473883390426636
59,Trevignon 2,2023-03-16T00:00:00,0.4146711528301239,0.3499999940395355,0.24789109826087952,0.07810249924659729,1.5042606592178345
60,Meaban 2,2019-02-20T00:00:00,0.26703667640686035,0.2332380712032318,0.14244337379932404,0.05830951780080795,0.6879680156707764
61,Meaban 2,2022-03-24T00:00:00,0.2889169156551361,0.27784886956214905,0.14949485659599304,0.05000000074505806,0.6824221611022949
62,Meaban 2,2023-03-15T00:00:00,0.28434810042381287,0.264007568359375,0.14240652322769165,0.07211102545261383,0.9073588252067566
63,Keraliou 1,2019-02-21T00:00:00,0.043875742703676224,0.03999999910593033,0.0238817036151886,0.009999999776482582,0.13152946531772614
64,Keraliou 1,2022-04-15T00:00:00,0.03560192510485649,0.029999999329447746,0.022897779941558838,0.009999999776482582,0.18110769987106323
65,Keraliou 1,2023-03-18T00:00:00,0.04514085501432419,0.03999999910593033,0.02868308499455452,0.009999999776482582,0.17262676358222961
66,Keraliou 2,2019-02-21T00:00:00,0.05085435137152672,0.041231054812669754,0.02745942585170269,0.009999999776482582,0.14035668969154358
67,Keraliou 2,2022-04-15T00:00:00,0.04204928129911423,0.03999999910593033,0.026419974863529205,0.009999999776482582,0.20999999344348907
68,Keraliou 2,2023-03-18T00:00:00,0.052227120846509933,0.03999999910593033,0.03301113471388817,0.009999999776482582,0.191049724817276
69,Keraliou 3,2019-02-21T00:00:00,0.062959223985672,0.05549509823322296,0.03342316299676895,0.009999999776482582,0.18439088761806488
70,Keraliou 3,2022-04-15T00:00:00,0.0530804805457592,0.04999999701976776,0.032584063708782196,0.009999999776482582,0.2607680857181549
71,Keraliou 3,2023-03-18T00:00:00,0.06778068840503693,0.05999999865889549,0.04130778834223747,0.009999999776482582,0.2408318817615509
72,Glenan 1,2019-02-19T00:00:00,0.5389783978462219,0.4509980082511902,0.3180687129497528,0.08544003218412399,1.761391520500183
73,Glenan 1,2022-03-26T00:00:00,0.608485758304596,0.5536243915557861,0.3502848446369171,0.12369316816329956,1.6032778024673462
74,Glenan 1,2023-03-16T00:00:00,0.6004160046577454,0.5198557376861572,0.3340371251106262,0.12165524810552597,2.0316002368927
75,Glenan 3,2019-02-19T00:00:00,0.21293361485004425,0.17492854595184326,0.130767360329628,0.03999999910593033,0.7381733655929565
76,Glenan 3,2022-03-26T00:00:00,0.26833751797676086,0.2408318817615509,0.1541750729084015,0.04472135752439499,0.7324615716934204
77,Glenan 3,2023-03-16T00:00:00,0.26567962765693665,0.23409399390220642,0.14552246034145355,0.053851645439863205,0.9231467247009277
78,Camaret 2,2019-02-22T00:00:00,0.30860453844070435,0.26391148567199707,0.18712067604064941,0.05099019408226013,0.9100549221038818
79,Camaret 2,2022-03-27T00:00:00,0.33752068877220154,0.2927456200122833,0.20714247226715088,0.04999999701976776,0.9749358892440796
